Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
Pemkot Mataram Cari Akar Masalah Harga Daging Ayam Tak Turun Sejak 3 Bulan,Harga daging,Detik.com,2025-11-26,https://www.detik.com/bali/nusra/d-8228735/pemkot-mataram-cari-akar-masalah-harga-daging-ayam-tak-turun-sejak-3-bulan
Sate Kelinci dari Jawa Masuk Daftar Hidangan Daging Buruan Terbaik Dunia,Harga daging,Detik.com,2025-11-26,https://food.detik.com/info-kuliner/d-8229254/sate-kelinci-dari-jawa-masuk-daftar-hidangan-daging-buruan-terbaik-dunia
Harga Emas Antam Turun Tipis Jadi Segini,Harga daging,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8229023/harga-emas-antam-turun-tipis-jadi-segini
Video: Celios Sebut Kenaikan Harga Daging Ayam Imbas Diborong untuk MBG,Harga daging,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20251007-251007081/video-celios-sebut-kenaikan-harga-daging-ayam-imbas-diborong-untuk-mbg
"Pramono Larang Konsumsi Daging Anjing, Kenneth DPRD DKI: Langkah Berani & Bersejarah",Harga daging,Detik.com,2025-11-26,https://news.detik.com/berita/d-8228870/pramono-larang-konsumsi-daging-anjing-kenneth-dprd-dki-langkah-berani-bersejarah
Segini Kisaran Harga Semen per 50 Kg Terbaru 2025,Harga daging,Detik.com,2025-11-26,https://www.detik.com/properti/tips-dan-panduan/d-8229176/segini-kisaran-harga-semen-per-50-kg-terbaru-2025
"Ada versi Hybrid, Ini Daftar Harga Toyota Veloz Terbaru",Harga daging,Detik.com,2025-11-26,https://oto.detik.com/mobil/d-8229107/ada-versi-hybrid-ini-daftar-harga-toyota-veloz-terbaru
Geliat Pasar Tradisional Semarang di Tengah Inflasi,Harga daging,Detik.com,2025-11-26,https://finance.detik.com/foto-bisnis/d-8193184/geliat-pasar-tradisional-semarang-di-tengah-inflasi
Harga Emas Hari Ini di Semarang 26 November 2025: Pegadaian Melonjak Tajam!,Harga daging,Detik.com,2025-11-26,https://www.detik.com/jateng/bisnis/d-8229198/harga-emas-hari-ini-di-semarang-26-november-2025-pegadaian-melonjak-tajam
Realme C85 dan C85 Pro: Harga dan Spesifikasi Lengkap di Indonesia,Harga daging,Detik.com,2025-11-26,https://inet.detik.com/consumer/d-8229223/realme-c85-dan-c85-pro-harga-dan-spesifikasi-lengkap-di-indonesia
"Harga Sembako Jatim Hari Ini: Cabai Keriting-Rawit Naik, Bawang Merah Turun",Harga cabai,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8229067/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-naik-bawang-merah-turun
"Tanaman Cabai Mati Usai Erupsi Semeru, Petani Lumajang Rugi Rp 50 Juta",Harga cabai,Detik.com,2025-11-26,https://www.detik.com/jatim/berita/d-8229252/tanaman-cabai-mati-usai-erupsi-semeru-petani-lumajang-rugi-rp-50-juta
Mendag Wanti-wanti Harga Ayam hingga Cabai Naik saat Nataru,Harga cabai,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8222291/mendag-wanti-wanti-harga-ayam-hingga-cabai-naik-saat-nataru
Video: Wamendag Sebut Cuaca Jadi Penyebab Harga Cabai Naik Jelang Lebaran,Harga cabai,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20250331-250331092/video-wamendag-sebut-cuaca-jadi-penyebab-harga-cabai-naik-jelang-lebaran
Harga Emas Antam Turun Tipis Jadi Segini,Harga cabai,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8229023/harga-emas-antam-turun-tipis-jadi-segini
Segini Kisaran Harga Semen per 50 Kg Terbaru 2025,Harga cabai,Detik.com,2025-11-26,https://www.detik.com/properti/tips-dan-panduan/d-8229176/segini-kisaran-harga-semen-per-50-kg-terbaru-2025
"Ada versi Hybrid, Ini Daftar Harga Toyota Veloz Terbaru",Harga cabai,Detik.com,2025-11-26,https://oto.detik.com/mobil/d-8229107/ada-versi-hybrid-ini-daftar-harga-toyota-veloz-terbaru
"Bukan Emas Saja, Pedasnya Cabai Picu Kenaikan Inflasi Oktober 2025",Harga cabai,Detik.com,2025-11-26,https://finance.detik.com/foto-bisnis/d-8196758/bukan-emas-saja-pedasnya-cabai-picu-kenaikan-inflasi-oktober-2025
Harga Emas Hari Ini di Semarang 26 November 2025: Pegadaian Melonjak Tajam!,Harga cabai,Detik.com,2025-11-26,https://www.detik.com/jateng/bisnis/d-8229198/harga-emas-hari-ini-di-semarang-26-november-2025-pegadaian-melonjak-tajam
Realme C85 dan C85 Pro: Harga dan Spesifikasi Lengkap di Indonesia,Harga cabai,Detik.com,2025-11-26,https://inet.detik.com/consumer/d-8229223/realme-c85-dan-c85-pro-harga-dan-spesifikasi-lengkap-di-indonesia
Harga Beras di 152 Daerah Diklaim Turun,Harga beras,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8227064/harga-beras-di-152-daerah-diklaim-turun
Pemprov Aceh Sebut Harga Beras di Sabang Mahal Jadi Alasan Impor 250 Ton,Harga beras,Detik.com,2025-11-26,https://www.detik.com/sumut/berita/d-8227137/pemprov-aceh-sebut-harga-beras-di-sabang-mahal-jadi-alasan-impor-250-ton
"Sempat Absen, Billy Beras Kembali Dipanggil KPK Terkait Kasus Jalur KA",Harga beras,Detik.com,2025-11-26,https://news.detik.com/berita/d-8229582/sempat-absen-billy-beras-kembali-dipanggil-kpk-terkait-kasus-jalur-ka
Video: Komisi IV DPR Ungkap Biang Kerok Harga Beras Naik,Harga beras,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20250911-250911009/video-komisi-iv-dpr-ungkap-biang-kerok-harga-beras-naik
Zulhas soal Temuan 250 Ton Beras Impor: Tak Pernah Ada Izin!,Harga beras,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8229429/zulhas-soal-temuan-250-ton-beras-impor-tak-pernah-ada-izin
Mentan Ungkap Asal Usul Beras Impor Ilegal 250 Kg ke Sabang,Harga beras,Detik.com,2025-11-26,https://www.detik.com/sumut/berita/d-8226312/mentan-ungkap-asal-usul-beras-impor-ilegal-250-kg-ke-sabang
"Impor Ilegal Terjadi Lagi, Beras hingga Minyak Goreng Masuk Batam",Harga beras,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8228398/impor-ilegal-terjadi-lagi-beras-hingga-minyak-goreng-masuk-batam
"Stabilkan Inflasi, Pemkot Jambi Selenggarakan Gerakan Pangan Murah",Harga beras,Detik.com,2025-11-26,https://finance.detik.com/foto-bisnis/d-8214898/stabilkan-inflasi-pemkot-jambi-selenggarakan-gerakan-pangan-murah
Mentan Ungkap 250 Ton Beras Diimpor Ilegal ke Sabang,Harga beras,Detik.com,2025-11-26,https://www.detik.com/sumut/berita/d-8225086/mentan-ungkap-250-ton-beras-diimpor-ilegal-ke-sabang
Harga Emas Antam Turun Tipis Jadi Segini,Harga beras,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8229023/harga-emas-antam-turun-tipis-jadi-segini
"Harga Sembako Jatim Hari Ini: Cabai Keriting-Rawit Naik, Bawang Merah Turun",Harga bawang merah,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8229067/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-naik-bawang-merah-turun
"Harga Sembako Jatim Hari Ini: Cabai Keriting dan Rawit Naik, Bawang Merah Turun",Harga bawang merah,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8225323/harga-sembako-jatim-hari-ini-cabai-keriting-dan-rawit-naik-bawang-merah-turun
"Harga Bawang Merah Turun, tapi Ayam hingga Cabai Naik",Harga bawang merah,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8147074/harga-bawang-merah-turun-tapi-ayam-hingga-cabai-naik
"Video: Harga Bawang Merah Naik di 300 Kab/Kota, Sentuh Rp 53 Ribu Per Kg",Harga bawang merah,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20250811-250811089/video-harga-bawang-merah-naik-di-300-kab-kota-sentuh-rp-53-ribu-per-kg
"Harga Bawang Merah Mulai Turun di Sumut, Begini Kata Disperindag",Harga bawang merah,Detik.com,2025-11-26,https://www.detik.com/sumut/bisnis/d-8069518/harga-bawang-merah-mulai-turun-di-sumut-begini-kata-disperindag
Harga Bawang Merah di Palembang Merangkak Naik dalam Sepekan,Harga bawang merah,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/bisnis/d-8032403/harga-bawang-merah-di-palembang-merangkak-naik-dalam-sepekan
