Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Akhir Tahun, Harga Cabai Merah-Rawit Hijau di Medan Turun",Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8282226/akhir-tahun-harga-cabai-merah-rawit-hijau-di-medan-turun
"Harga Cabai Melonjak di Penghujung 2025, Cuaca Ekstrem Jadi Penyebab",Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/bali/bisnis/d-8284697/harga-cabai-melonjak-di-penghujung-2025-cuaca-ekstrem-jadi-penyebab
"Harga Sembako Jatim Hari Ini: Bawang Merah, Cabai, Ayam Turun",Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/jatim/bisnis/d-8283542/harga-sembako-jatim-hari-ini-bawang-merah-cabai-ayam-turun
Harga Cabai Merah di Pasar Jambi Tembus Rp 100 Ribu/Kilo,Harga Cabai Merah,Detik.com,2025-12-31,https://20.detik.com/detikflash/20220317-220317081/harga-cabai-merah-di-pasar-jambi-tembus-rp-100-ribu-kilo
"Harga Sembako Jatim Hari Ini: Cabai Rawit Naik, Bawang Merah Turun",Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/jatim/bisnis/d-8280565/harga-sembako-jatim-hari-ini-cabai-rawit-naik-bawang-merah-turun
"Harga Sembako Jatim Hari Ini, Cabai Turun Semua",Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/jatim/bisnis/d-8281752/harga-sembako-jatim-hari-ini-cabai-turun-semua
Harga Cabai Merah-Telur Ayam di Sumut Mulai Turun Pekan Ini,Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8262775/harga-cabai-merah-telur-ayam-di-sumut-mulai-turun-pekan-ini
Harga Cabai Rawit dan Bawang Merah Berangsur Turun,Harga Cabai Merah,Detik.com,2025-12-31,https://finance.detik.com/foto-bisnis/d-7810373/harga-cabai-rawit-dan-bawang-merah-berangsur-turun
Harga Cabai Merah-Rawit di Sumut Awal Pekan Ini,Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8158575/harga-cabai-merah-rawit-di-sumut-awal-pekan-ini
"Musim Hujan, Harga Cabai Merah di Pasar Surabaya Pedas",Harga Cabai Merah,Detik.com,2025-12-31,https://www.detik.com/jatim/bisnis/d-8209647/musim-hujan-harga-cabai-merah-di-pasar-surabaya-pedas
