Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Harga Sembako Jatim Hari Ini: Cabai Keriting, Rawit dan Daging Naik Semua",Harga daging,Detik.com,2025-11-25,https://www.detik.com/jatim/bisnis/d-8227193/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-dan-daging-naik-semua
Pramono Teken Pergub Larangan Perdagangan Daging Anjing-Kucing,Harga daging,Detik.com,2025-11-25,https://news.detik.com/berita/d-8227307/pramono-teken-pergub-larangan-perdagangan-daging-anjing-kucing
"Harga Toyota Alphard Terbaru, Paling Murah Berapa?",Harga daging,Detik.com,2025-11-25,https://oto.detik.com/mobil/d-8227672/harga-toyota-alphard-terbaru-paling-murah-berapa
Video: Celios Sebut Kenaikan Harga Daging Ayam Imbas Diborong untuk MBG,Harga daging,Detik.com,2025-11-25,https://20.detik.com/detikupdate/20251007-251007081/video-celios-sebut-kenaikan-harga-daging-ayam-imbas-diborong-untuk-mbg
AMD Bakal Naikkan Harga Kartu Grafis Gara-gara Harga RAM Melonjak,Harga daging,Detik.com,2025-11-25,https://inet.detik.com/consumer/d-8227313/amd-bakal-naikkan-harga-kartu-grafis-gara-gara-harga-ram-melonjak
"Mobil China Perang Harga di Indonesia, Mitsubishi Bilang Begini",Harga daging,Detik.com,2025-11-25,https://oto.detik.com/mobil/d-8227429/mobil-china-perang-harga-di-indonesia-mitsubishi-bilang-begini
Harga Beras di 152 Daerah Diklaim Turun,Harga daging,Detik.com,2025-11-25,https://finance.detik.com/berita-ekonomi-bisnis/d-8227064/harga-beras-di-152-daerah-diklaim-turun
Geliat Pasar Tradisional Semarang di Tengah Inflasi,Harga daging,Detik.com,2025-11-25,https://finance.detik.com/foto-bisnis/d-8193184/geliat-pasar-tradisional-semarang-di-tengah-inflasi
"Klik internetrakyat.id untuk Daftar Internet Rakyat, Dapat Harga WiFi Murah!",Harga daging,Detik.com,2025-11-25,https://www.detik.com/jateng/bisnis/d-8227242/klik-internetrakyat-id-untuk-daftar-internet-rakyat-dapat-harga-wifi-murah
"Harga Mitsubishi Xpander Terbaru, Sekarang Termurahnya Segini",Harga daging,Detik.com,2025-11-25,https://oto.detik.com/mobil/d-8227016/harga-mitsubishi-xpander-terbaru-sekarang-termurahnya-segini
"Harga Sembako Jatim Hari Ini: Cabai Keriting, Rawit dan Daging Naik Semua",Harga cabai,Detik.com,2025-11-25,https://www.detik.com/jatim/bisnis/d-8227193/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-dan-daging-naik-semua
Mendag Wanti-wanti Harga Ayam hingga Cabai Naik saat Nataru,Harga cabai,Detik.com,2025-11-25,https://finance.detik.com/berita-ekonomi-bisnis/d-8222291/mendag-wanti-wanti-harga-ayam-hingga-cabai-naik-saat-nataru
"Harga Toyota Alphard Terbaru, Paling Murah Berapa?",Harga cabai,Detik.com,2025-11-25,https://oto.detik.com/mobil/d-8227672/harga-toyota-alphard-terbaru-paling-murah-berapa
Video: Wamendag Sebut Cuaca Jadi Penyebab Harga Cabai Naik Jelang Lebaran,Harga cabai,Detik.com,2025-11-25,https://20.detik.com/detikupdate/20250331-250331092/video-wamendag-sebut-cuaca-jadi-penyebab-harga-cabai-naik-jelang-lebaran
AMD Bakal Naikkan Harga Kartu Grafis Gara-gara Harga RAM Melonjak,Harga cabai,Detik.com,2025-11-25,https://inet.detik.com/consumer/d-8227313/amd-bakal-naikkan-harga-kartu-grafis-gara-gara-harga-ram-melonjak
Harga Sembako Jogja Hari Ini 25 November 2025: Rawit Hijau Tembus Segini!,Harga cabai,Detik.com,2025-11-25,https://www.detik.com/jogja/bisnis/d-8227475/harga-sembako-jogja-hari-ini-25-november-2025-rawit-hijau-tembus-segini
"Mobil China Perang Harga di Indonesia, Mitsubishi Bilang Begini",Harga cabai,Detik.com,2025-11-25,https://oto.detik.com/mobil/d-8227429/mobil-china-perang-harga-di-indonesia-mitsubishi-bilang-begini
"Bukan Emas Saja, Pedasnya Cabai Picu Kenaikan Inflasi Oktober 2025",Harga cabai,Detik.com,2025-11-25,https://finance.detik.com/foto-bisnis/d-8196758/bukan-emas-saja-pedasnya-cabai-picu-kenaikan-inflasi-oktober-2025
Harga Beras di 152 Daerah Diklaim Turun,Harga cabai,Detik.com,2025-11-25,https://finance.detik.com/berita-ekonomi-bisnis/d-8227064/harga-beras-di-152-daerah-diklaim-turun
